column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
GDC,4839,4839,23.77734375,False,False,0,False,169,True
GDD,4840,4840,17.21875,False,False,0,False,169,True
GDE,4841,4841,15.0,False,False,0,False,169,True
GDF,4842,4842,18.77734375,False,True,0,False,169,True
GDG,4843,4843,15.21875,False,False,0,False,169,True
GDH,4844,4844,9.77734375,False,False,0,False,169,True
GDI,4845,4845,41.21875,False,False,0,False,169,True
GDJ,4846,4846,41.44140625,False,False,0,False,169,True
GDK,4847,4848,22.44140625,False,False,0,False,169,True
GDM,4849,4849,30.44140625,False,False,0,False,169,True
GDN,4850,4850,33.21875,False,False,0,False,169,True
GDO,4851,4851,21.21875,False,False,0,False,169,True
GDP,4852,5092,9.21875,False,False,0,False,169,True
GMW,5093,5093,2.77734375,False,False,0,False,169,True
GMX,5094,5094,7.21875,False,False,0,False,169,True
GMY,5095,5095,23.77734375,False,False,0,False,169,True
GMZ,5096,5096,17.21875,False,False,0,False,169,True
GNA,5097,5097,15.0,False,False,0,False,169,True
GNB,5098,5098,18.77734375,False,True,0,False,169,True
GNC,5099,5099,15.21875,False,False,0,False,169,True
GND,5100,5100,9.77734375,False,False,0,False,169,True
GNE,5101,5101,41.21875,False,False,0,False,169,True
GNF,5102,5102,41.44140625,False,False,0,False,169,True
GNG,5103,5104,22.44140625,False,False,0,False,169,True
GNI,5105,5105,30.44140625,False,False,0,False,169,True
GNJ,5106,5106,33.21875,False,False,0,False,169,True
GNK,5107,5107,21.21875,False,False,0,False,169,True
GNL,5108,5348,9.21875,False,False,0,False,169,True
GWS,5349,5349,2.77734375,False,False,0,False,169,True
GWT,5350,5350,7.21875,False,False,0,False,169,True
GWU,5351,5351,23.77734375,False,False,0,False,169,True
GWV,5352,5352,17.21875,False,False,0,False,169,True
GWW,5353,5353,15.0,False,False,0,False,169,True
GWX,5354,5354,18.77734375,False,True,0,False,169,True
GWY,5355,5355,15.21875,False,False,0,False,169,True
GWZ,5356,5356,9.77734375,False,False,0,False,169,True
GXA,5357,5357,41.21875,False,False,0,False,169,True
GXB,5358,5358,41.44140625,False,False,0,False,169,True
GXC,5359,5360,22.44140625,False,False,0,False,169,True
GXE,5361,5361,30.44140625,False,False,0,False,169,True
GXF,5362,5362,33.21875,False,False,0,False,169,True
GXG,5363,5363,21.21875,False,False,0,False,169,True
GXH,5364,5604,9.21875,False,False,0,False,169,True
HGO,5605,5605,2.77734375,False,False,0,False,169,True
HGP,5606,5606,7.21875,False,False,0,False,169,True
HGQ,5607,5607,23.77734375,False,False,0,False,169,True
HGR,5608,5608,17.21875,False,False,0,False,169,True
HGS,5609,5609,15.0,False,False,0,False,169,True
HGT,5610,5610,18.77734375,False,True,0,False,169,True
HGU,5611,5611,15.21875,False,False,0,False,169,True
HGV,5612,5612,9.77734375,False,False,0,False,169,True
HGW,5613,5613,41.21875,False,False,0,False,169,True
HGX,5614,5614,41.44140625,False,False,0,False,169,True
